sample,REF_RPL10,REF_RPL19,Des1,Des2,El1,El2
405,17.69,19.82,17.59,18.61,20.83,23.39
405,17.55,19.74,17.72,18.52,20.76,22.67
405,17.55,19.81,17.89,17.98,19.87,22.4
406,20.17,22.35,19.02,19.45,22,23.51
406,20.04,22.27,18.93,19.41,21.23,23.16
406,20.01,22.31,18.88,19.53,20.92,23.63
408,20.39,22.6,19.13,20.6,20.14,24.71
408,20.31,22.73,19.15,20.86,20.24,24.87
408,19.5,22.55,19.19,20.52,20.13,24.66
411,19.63,21.79,19.1,19.89,19.05,24.08
411,19.58,21.8,19.36,20.3,19.04,23.81
411,19.63,21.6,19.44,19.73,19.04,23.88
412,20.55,22.75,20.02,21.28,19.32,23.6
412,20.47,22.18,20.05,21.88,19.15,24.07
412,20.56,22.04,20.1,21.06,18.86,23.79
434,19.12,21.45,15.94,20.53,20.06,18.04
434,18.98,21.39,15.86,19.54,19.67,17.93
434,18.39,20.67,15.7,19.72,19.3,17.87
435,19.35,21.66,18.59,20.21,18.07,20.06
435,19.25,21.62,18.19,20.51,18.26,20.14
435,18.75,21.69,18.83,19.88,18.07,19.58
437,20.91,23.58,17.02,22.49,20.73,20.34
437,20.66,23.32,17.68,22.57,20.41,20.24
437,20.23,22.21,17.38,22.1,19.66,19.87
439,17.77,19.93,13.79,19.88,18.04,18.02
439,17.68,19.84,13.78,19.34,17.95,17.94
439,17.76,19.91,13.89,19.33,18.07,18
442,23.56,26.74,21.39,26.51,24.47,24.78
442,23.78,26.66,21.41,26.66,24.44,24.79
442,23.73,26.63,21.31,26.16,24.41,24.68
474,20.78,23.37,19.46,20.59,19.6,24.24
474,20.88,,19.52,20.65,19.53,24.35
474,20.84,,19.43,,19.43,24.19
477,17.81,19.93,18.88,19.92,19.34,23.91
477,17.73,19.88,18.96,19.8,19.16,23.76
477,17.67,19.87,18.96,19.83,19.22,23.74
480,18.28,20.79,16.57,17.48,19.24,23
480,18.24,20.22,16.5,17.5,19.13,22.91
480,17.34,20.62,16.5,17.48,19.14,22.96
481,21.77,22.15,18.55,18.93,20.2,23.11
481,21.24,22.15,18.12,18.92,19.16,22.86
481,20.41,22.21,18.81,18.94,19.01,22.2
482,21.36,23.36,19.02,20.29,20.3,26.06
482,21.3,23.35,18.7,19.79,20.31,24.97
482,21.29,23.3,18.75,19.16,20.41,24.27
484,16.89,19.44,13.4,17.49,20.14,18.35
484,16.92,19.55,13.44,17.48,20.2,18.4
484,16.78,19.43,13.35,17.35,20.11,18.29
486,21.35,23.68,19.63,20.25,22.29,24.77
486,21.37,23.63,19.33,20.2,22.02,24.87
486,21.36,23.58,18.57,20.26,21.25,24.9
489,19.69,21.72,21.74,22.87,23.21,24.55
489,19.67,21.72,21.88,22.85,23.25,24.5
489,19.66,21.79,21.86,22.85,23.28,24.75
490,18.58,21.13,15.39,19.34,19.25,20.51
490,18.53,21.09,15.36,19.29,19.21,20.45
490,18.52,21.04,15.43,19.17,19.29,20.37
491,20.8,23.93,17.53,21.12,22.03,21.14
491,20.85,23.95,17.54,21.21,21.97,21.15
491,20.82,23.91,17.57,21.2,22.04,21.17
cal,18.05,20.65,14.18,16.87,16.16,17.6
cal,18.16,20.64,14.6,16.89,16.25,17.66
cal,18.07,20.61,14.56,17.37,16.13,17.64
