"","mean_RT","Fly_022","Fly_027","Fly_028","Fly_029","Fly_030","Fly_033","Fly_037","Fly_038","Fly_039","Fly_040"
"P1",4.10533333333333,4.115,4.115,0,0,4.101,0,0,0,0,0
"P2",4.49685714285714,4.515,4.501,4.487,4.501,4.508,4.487,0,4.494,0,0
"P3",5.0083,5.004,5.004,5.004,5.011,5.011,5.004,5.011,5.011,5.032,5.011
"P4",5.57866666666667,5.563,5.611,0,0,0,0,5.577,0,0,0
"P5",5.716,0,0,0,0,5.721,0,0,0,0,0
"P6",6.4945,6.514,6.494,6.501,6.507,6.487,6.487,6.501,6.487,6.493,6.494
"P7",6.716,0,6.721,0,0,0,0,0,0,0,0
"P8",7.01933333333333,7.038,0,0,0,7.004,0,7.031,0,0,0
"P9",7.20233333333333,7.211,7.204,7.204,0,7.197,7.197,7.211,7.197,7.204,7.211
"P10",7.273125,7.273,7.28,7.273,7.28,0,7.266,7.273,7.28,0,7.28
"P11",7.551,0,0,0,0,7.556,0,0,0,0,0
"P12",7.681,7.686,0,0,0,0,0,0,0,0,0
"P13",8.255,0,0,0,8.245,0,0,0,8.28,0,8.245
"P14",8.624875,8.61,8.666,8.604,8.604,0,8.611,8.652,8.659,8.603,0
"P15",8.895,0,8.9,0,0,0,0,0,0,0,0
"P16",9.0532,9.045,9.086,9.052,9.059,9.045,9.066,9.079,9.024,9.058,9.038
"P17",9.6225,9.652,0,0,0,0,0,0,0,0,9.603
"P18",9.8122,9.81,9.817,9.81,9.817,9.817,9.81,9.817,9.817,9.817,9.81
"P19",10.005,0,0,0,0,10.01,0,0,0,0,0
"P20",10.412,0,0,0,0,0,0,0,0,0,10.417
"P21",10.7515,0,10.748,10.755,0,0,0,0,0,10.762,10.741
"P22",10.9515,0,0,0,0,10.962,0,0,10.941,0,0
"P23",11.104,11.107,11.093,11.107,0,11.107,0,11.107,11.114,11.1,11.107
"P24",11.2703333333333,0,0,0,0,11.286,0,0,11.272,0,11.258
"P25",11.465,0,0,0,0,11.465,0,0,11.465,0,0
"P26",11.5334,11.555,11.541,11.527,11.527,11.534,11.534,11.534,11.534,11.534,11.534
"P27",11.7626666666667,0,11.762,11.769,0,0,0,0,0,0,11.762
"P28",11.97475,0,12.01,0,0,11.962,0,11.969,0,11.968,0
"P29",12.067,0,0,0,0,0,0,0,0,0,12.072
"P30",12.2285555555556,12.189,12.196,12.203,12.196,12.279,12.272,12.203,12.272,0,12.272
"P31",12.557,0,0,0,0,0,0,0,0,0,12.562
"P32",12.9108333333333,12.92,0,12.913,0,12.92,0,0,12.858,12.927,12.927
"P33",13.0325,13.03,13.031,13.038,13.03,13.044,13.031,13.037,13.037,13.03,13.037
"P34",13.329,13.334,0,0,0,0,0,0,0,0,0
"P35",13.5253333333333,0,0,0,0,13.534,0,13.534,0,13.513,0
"P36",13.6542,13.651,13.686,13.644,0,0,0,0,0,13.658,13.637
"P37",13.8095,13.775,0,0,0,0,0,0,13.844,0,0
"P38",13.9919,14.003,14.003,13.996,13.989,13.996,13.996,13.989,13.989,13.989,13.989
"P39",14.239,0,0,0,0,14.244,0,0,0,0,0
"P40",14.492,14.513,14.52,14.492,14.513,14.465,0,14.485,0,14.471,0
"P41",14.7019,14.699,14.699,14.699,14.699,14.706,14.706,14.706,14.699,14.706,14.72
"P42",14.9433,14.947,14.948,14.941,14.94,14.954,14.941,14.954,14.947,14.947,14.934
"P43",15.177,0,0,0,0,15.196,0,0,0,0,15.168
"P44",15.3115,0,15.313,0,0,15.32,0,0,0,0,0
"P45",15.449,0,0,0,0,0,0,0,15.444,0,0
"P46",15.58,0,0,0,0,0,0,0,0,15.575,0
"P47",15.777,0,0,0,0,0,0,0,0,0,15.782
"P48",15.866,0,15.871,0,0,0,0,0,0,0,0
"P49",16.03975,16.051,16.037,16.037,16.044,16.044,16.051,16.037,0,16.037,0
"P50",16.1043333333333,0,16.106,0,0,16.106,0,0,16.106,0,0
"P51",16.2145,16.209,16.23,0,0,0,0,0,0,0,0
"P52",16.3467777777778,16.402,16.34,16.34,16.34,16.347,16.333,16.347,16.347,16.34,0
"P53",16.6688,0,0,0,0,0,16.658,16.713,16.602,16.712,16.664
"P54",16.797,0,16.802,0,0,0,0,0,0,0,0
"P55",16.928,0,16.933,0,0,0,0,0,0,0,0
"P56",17.1119,17.112,17.12,17.113,17.112,17.113,17.113,17.119,17.112,17.112,17.113
"P57",17.2469,17.25,17.251,17.251,17.25,17.25,17.244,17.25,17.25,17.243,17.25
"P58",17.3865,17.388,17.395,0,0,0,0,0,0,0,0
"P59",17.501,17.506,0,0,0,0,0,0,0,0,17.506
"P60",17.673,17.671,0,0,0,0,0,0,0,0,17.685
"P61",17.78,0,17.775,0,0,0,0,0,0,0,17.795
"P62",17.89,0,0,0,0,0,0,0,17.885,0,0
"P63",18.076,18.071,18.099,18.099,18.085,18.092,0,0,0,0,18.03
"P64",18.6655,18.671,18.664,18.657,18.664,18.678,18.671,18.678,18.657,18.671,18.664
"P65",18.783,18.788,0,0,0,0,0,0,0,0,0
"P66",18.9435,0,0,0,0,0,0,0,18.94,0,18.947
"P67",19.024,0,0,0,0,0,0,0,0,0,19.029
"P68",19.413,19.409,19.416,19.423,19.416,19.416,19.402,19.409,19.422,19.415,19.422
"P69",19.624,0,0,0,0,0,0,0,0,0,19.629
"P70",19.7121,19.712,19.719,19.712,19.705,19.712,19.719,19.719,19.712,19.712,19.719
"P71",20.114,0,20.119,0,0,0,0,0,0,0,0
"P72",20.374625,0,20.388,20.381,20.381,20.388,20.374,20.374,20.34,20.381,0
"P73",20.4935,20.533,0,0,0,0,0,0,0,0,20.464
"P74",20.6725,20.643,20.712,0,0,0,0,0,0,0,0
"P75",20.9566,20.953,20.96,20.953,20.96,20.967,20.96,20.96,20.96,20.953,20.96
"P76",21.1105,21.091,21.112,21.112,21.091,21.112,21.112,21.112,21.146,21.084,21.153
"P77",21.2395,0,0,0,0,0,0,21.243,0,21.236,0
"P78",21.3295,0,0,0,0,0,0,0,21.326,0,21.333
"P79",21.4883333333333,0,0,21.526,0,0,0,0,21.457,0,21.477
"P80",21.6095,21.608,21.615,21.608,21.608,21.615,21.608,21.615,21.615,21.608,21.615
"P81",21.872,0,21.877,21.871,21.877,0,21.87,21.877,0,21.87,0
"P82",21.933,21.932,21.939,21.926,21.939,21.932,21.933,21.939,21.939,21.932,21.939
"P83",22.1342222222222,22.132,22.139,22.139,0,22.132,22.139,22.132,22.139,22.132,22.139
"P84",22.3155,0,0,0,0,0,0,0,22.312,0,22.319
"P85",22.445,22.45,0,0,0,0,0,0,0,0,0
"P86",22.5745714285714,0,22.588,22.588,22.587,0,22.581,22.581,0,22.573,22.539
"P87",22.748,0,0,0,0,0,0,0,0,0,22.753
"P88",22.9467777777778,22.974,22.981,22.926,22.932,0,22.925,22.932,22.967,22.918,22.981
"P89",23.051,23.056,0,0,0,0,0,0,0,0,0
"P90",23.1915,0,0,0,0,23.194,0,23.187,23.187,0,23.208
"P91",23.3135,0,23.291,0,23.346,0,23.339,23.298,0,0,0
"P92",23.472,0,23.484,0,0,0,0,0,0,0,23.47
"P93",23.5524,23.525,0,0,0,23.532,23.553,0,23.587,0,23.58
"P94",23.7267,23.698,23.746,23.739,23.739,23.739,23.732,23.739,23.711,23.739,23.705
"P95",23.972,0,0,0,0,0,0,0,23.967,0,0
"P96",24.0498,24.049,24.049,24.049,24.056,24.056,24.049,24.056,24.056,24.049,24.049
"P97",24.159,0,24.16,24.16,0,0,0,0,0,24.152,0
"P98",24.2685,24.27,24.277,0,0,0,0,0,0,0,0
"P99",24.4336666666667,24.435,0,24.443,24.435,24.442,24.429,24.442,24.435,24.428,24.429
"P100",24.501125,24.511,24.505,24.505,24.504,24.511,24.498,24.498,0,24.497,0
"P101",24.6245555555556,24.628,0,24.636,24.628,24.635,24.622,24.629,24.615,24.635,24.608
"P102",24.7355,0,0,24.739,24.732,0,24.732,0,0,24.739,0
"P103",24.8496,0,24.877,24.87,0,0,24.87,24.808,24.828,0,0
"P104",25.0477,25.042,25.056,25.049,25.049,25.056,25.049,25.049,25.049,25.049,25.049
"P105",25.1801,25.18,25.187,25.18,25.18,25.187,25.18,25.18,25.18,25.18,25.187
"P106",25.3277777777778,25.339,25.339,25.346,25.332,25.346,25.346,25.339,0,25.325,25.263
"P107",25.4665,0,0,0,0,0,0,0,25.47,0,25.463
"P108",25.5794,25.566,25.594,25.594,25.594,25.58,25.58,25.587,25.566,25.587,25.566
"P109",25.7318333333333,25.697,0,0,0,25.746,25.78,25.78,25.704,0,25.704
"P110",25.8245714285714,25.849,25.815,25.801,25.814,0,0,0,25.842,25.821,25.835
"P111",26.1013,26.09,26.111,26.111,26.111,26.104,26.104,26.104,26.097,26.104,26.097
"P112",26.24725,26.242,0,26.256,26.242,0,0,0,0,26.249,0
"P113",26.34,0,0,0,0,0,0,0,0,0,26.345
"P114",26.5426,26.573,26.573,0,0,26.511,0,0,26.532,0,26.539
"P115",26.9957777777778,0,27.035,27.021,27.028,26.959,26.994,27.001,26.938,27.014,26.987
"P116",27.15675,27.138,27.208,0,0,0,27.194,0,27.097,0,0
"P117",27.2818571428571,0,27.29,27.283,27.276,27.283,27.283,27.29,0,27.283,0
"P118",27.421,27.414,0,0,0,0,0,0,27.428,27.421,27.421
"P119",27.6065,27.6,27.614,27.608,27.614,27.607,27.607,27.614,27.6,27.614,27.607
"P120",27.6868571428571,0,27.69,27.683,27.69,27.69,27.69,27.69,0,27.69,0
"P121",27.9934,27.993,28,27.994,28,28,27.994,28,27.993,27.993,27.987
